id,symbol,name,market_cap_rank,market_cap,total_volume,current_price,circulating_supply,total_supply,max_supply,price_change_percentage_24h,last_updated,reject_reasons,is_rejected
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,169,416587504,53049600.0,3316.9,125633.2968487924,373334.0782232124,,0.35775,2026-01-24T22:24:58.815Z,,False
floki,floki,FLOKI,171,415695821,19112451.0,4.306e-05,9655440544441.0,10000000000000.0,10000000000000.0,-0.57948,2026-01-24T22:24:59.585Z,,False
layerzero,zro,LayerZero,175,405221513,86060026.0,2.0,202629028.12287,1000000000.0,1000000000.0,-14.58481,2026-01-24T22:24:59.617Z,,False
bittorrent,btt,BitTorrent,176,405013588,11361493.0,4.10725e-07,986061142857000.0,990000000000000.0,990000000000000.0,0.99012,2026-01-24T22:24:59.311Z,,False
just,jst,JUST,177,403416533,22710617.0,0.04579859,8815108920.581306,8815108920.581306,9900000000.0,2.8142,2026-01-24T22:24:58.877Z,,False
sun-token,sun,Sun Token,178,402340610,19971420.0,0.02094129,19202253497.61119,19900730000.0,,0.93684,2026-01-24T22:24:59.344Z,,False
the-sandbox,sand,The Sandbox,179,399346761,62176095.0,0.150029,2667289202.2233224,3000000000.0,3000000000.0,-5.70382,2026-01-24T22:24:59.543Z,,False
celestia,tia,Celestia,180,397511036,19929228.0,0.456406,870990627.038014,1160059646.47929,,0.32397,2026-01-24T22:24:59.136Z,,False
syrup,syrup,Maple Finance,185,380918042,13047000.0,0.33139,1150207096.9185314,1216127147.998563,,3.06629,2026-01-24T22:24:59.409Z,,False
pippin,pippin,pippin,187,378210546,15366160.0,0.378309,999937575.650888,999937575.650888,1000000000.0,-0.73077,2026-01-24T22:24:59.081Z,,False
starknet,strk,Starknet,190,370759098,32224672.0,0.071235,5206144626.348971,10000000000.0,10000000000.0,0.10957,2026-01-24T22:24:59.632Z,,False
stable-2,stable,​​Stable,192,370745158,22408393.0,0.02061931,18000000000.0,100000000000.0,100000000000.0,8.48479,2026-01-24T22:24:59.287Z,,False
spx6900,spx,SPX6900,194,365365603,12417645.0,0.392885,930993080.908372,930993080.908372,1000000000.0,-3.42648,2026-01-24T22:24:59.649Z,,False
jasmycoin,jasmy,JasmyCoin,197,361237220,15338660.0,0.00731183,49444999677.59027,50000000000.0,50000000000.0,-0.77531,2026-01-24T22:24:59.548Z,,False
crvusd,crvusd,crvUSD,201,351318751,17598867.0,0.999555,351466386.6305126,351466386.6305126,,-0.06194,2026-01-24T22:24:59.709Z,,False
ethereum-name-service,ens,Ethereum Name Service,203,349135318,14371092.0,9.14,38194934.79101414,100000000.0,100000000.0,1.26241,2026-01-24T22:24:59.054Z,,False
pendle,pendle,Pendle,204,340216161,32034188.0,2.01,169392644.0216069,281527448.4585314,,-1.15247,2026-01-24T22:24:59.126Z,,False
dogwifcoin,wif,dogwifhat,209,333852610,50812506.0,0.334335,998926392.0,998926392.0,998926392.0,0.24746,2026-01-24T22:24:59.504Z,,False
humanity,h,Humanity,212,303858772,13568675.0,0.166518,1825000000.0,10000000000.0,10000000000.0,2.206,2026-01-24T22:24:59.132Z,,False
fartcoin,fartcoin,Fartcoin,213,302992232,30722122.0,0.302987,999979573.628036,999979573.628036,1000000000.0,-0.16533,2026-01-24T22:24:48.601Z,,False
decentraland,mana,Decentraland,215,301654027,26276388.0,0.157427,1919090876.891388,2193179327.320146,,-5.6228,2026-01-24T22:24:59.960Z,,False
gala,gala,GALA,219,293328516,20901280.0,0.00622997,47133701457.07693,47133701457.07693,50000000000.0,-1.85672,2026-01-24T22:24:59.526Z,,False
unit-bitcoin,ubtc,Unit Bitcoin,220,292118074,25270729.0,89257.0,3272.75993401,20999999.99993401,21000000.0,-0.32089,2026-01-24T22:24:59.698Z,,False
basic-attention-token,bat,Basic Attention,226,270612151,11073698.0,0.180953,1495713456.9526055,1500000000.0,1500000000.0,-3.06683,2026-01-24T22:24:59.325Z,,False
raydium,ray,Raydium,227,269254481,10158034.0,1.002,268628294.338343,555000000.0,555000000.0,-0.60658,2026-01-24T22:24:59.446Z,,False
sonic-3,s,Sonic,230,265983452,11631765.0,0.070259,3784775845.0,3885497663.0,,-0.92435,2026-01-24T22:24:59.752Z,,False
plasma,xpl,Plasma,232,265696554,52260308.0,0.128633,2066666666.6667,10000000000.0,,3.51609,2026-01-24T22:24:59.204Z,,False
