id,symbol,name,market_cap_rank,market_cap,llama_slug,tvl_usd,tvl_change_7d,tvl_change_30d,tvl_mcap_ratio
pendle,pendle,Pendle,204,340216161,pendle,2871578077.0,-0.17619046988039644,-0.22241110025586386,8.44045170740728
dogwifcoin,wif,dogwifhat,209,333852610,,,,,
humanity,h,Humanity,212,303858772,,,,,
fartcoin,fartcoin,Fartcoin,213,302992232,,,,,
decentraland,mana,Decentraland,215,301654027,,,,,
gala,gala,GALA,219,293328516,,,,,
unit-bitcoin,ubtc,Unit Bitcoin,220,292118074,,,,,
basic-attention-token,bat,Basic Attention,226,270612151,basic-attention,,,,
raydium,ray,Raydium,227,269254481,launchlab,,,,
sonic-3,s,Sonic,230,265983452,sonic,,,,
plasma,xpl,Plasma,232,265696554,,,,,
btse-token,btse,BTSE Token,237,255359371,,,,,
zksync,zk,ZKsync,239,251732995,zksync-era,,,,
zero-gravity,0g,0G,244,241606730,,,,,
wrapped-aave-ethereum-usdc,waethusdc,Wrapped Aave Ethereum USDC,246,234333445,,,,,
arweave,ar,Arweave,250,230028442,,,,,
ape-and-pepe,apepe,Ape and Pepe,251,227722479,,,,,
ultima,ultima,Ultima,259,222540137,,,,,
agora-dollar,ausd,AUSD,266,216333624,acala-dollar,0.0,,,0.0
convex-finance,cvx,Convex Finance,274,207698578,convex-finance,770975527.0,-0.14607357032115253,-0.17322977436240705,3.711992322836221
immutable-x,imx,Immutable,275,207264562,immutablex,14295222.0,-0.20169415794952006,-0.22667491389690397,0.0689708933454818
kite-2,kite,Kite,277,206974532,lets-get-hai,1380378.0,-0.555938801961441,-0.5706189698983672,0.0066693133046919996
falcon-finance-ff,ff,Falcon Finance,278,205618045,falcon-finance,2033628300.0,-0.010685131983386609,-0.007125361670950792,9.890320180799307
monad,mon,Monad,279,205277339,mon-protocol,0.0,,,0.0
thorchain,rune,THORChain,282,203740798,thorchain-dex,72574641.0,-0.170453972123778,-0.1634235195865914,0.3562106446643053
wrapped-hype,whype,Wrapped HYPE,285,201978416,,,,,
